YearsExperience,Salary
7.8,62922.91
19.04,115536.57
14.77,93847.65
12.17,75810.84
3.54,39677.38
3.54,46627.17
1.63,29929.36
17.39,108719.03
12.22,84784.17
14.31,84883.78
0.9,25039.92
19.41,114422.33
16.73,96357.83
4.64,54751.53
4.05,38210.21
4.08,43308.68
6.43,55757.11
10.73,73165.9
8.92,63441.38
6.18,57830.12
12.43,74386.42
3.22,42168.62
6.2,55388.76
7.64,63148.42
9.39,71131.53
15.81,87620.51
4.39,39903.98
10.53,78498.67
12.05,79869.91
1.41,31880.7
12.35,87144.26
3.83,45879.25
1.77,42970.51
19.0,106350.66
19.33,117623.04
16.26,103831.7
6.44,54515.05
2.4,44476.28
13.84,88597.06
9.08,73175.05
2.88,36694.37
10.16,74054.06
1.17,39974.43
18.23,94133.29
5.55,46268.55
13.42,73480.58
6.58,54966.43
10.64,76153.02
11.16,82155.19
4.1,46789.12
19.41,115770.68
15.62,85559.85
18.82,96764.01
17.95,101518.79
12.16,80556.53
18.48,103742.72
2.23,28565.2
4.32,46841.06
1.38,29005.38
6.84,60724.13
8.08,64149.82
5.79,48465.83
16.66,94072.19
7.46,54530.69
5.98,53599.5
11.08,79106.01
3.25,38063.46
16.14,97091.6
1.95,35163.66
19.74,105012.82
15.56,91699.94
4.37,42323.61
0.61,29662.48
16.4,89616.6
14.28,96958.5
14.72,89038.88
15.54,88660.46
1.94,38845.38
7.49,59398.69
2.76,39932.94
17.33,102392.9
12.65,84404.79
6.95,55157.54
1.74,34078.46
6.56,54881.36
6.84,45854.69
14.73,81333.33
12.93,88563.85
17.8,109427.43
9.71,67587.58
2.83,44211.14
14.41,89189.34
15.34,106735.64
11.44,81377.5
15.53,91495.85
10.13,65738.35
10.69,64740.93
8.84,66365.52
1.0,30200.94
2.6,33304.26
1.11,31218.61
12.91,76232.27
6.63,64955.47
10.42,76076.71
18.2,102750.32
5.36,58844.51
8.5,64396.71
15.23,86626.57
4.96,57461.88
2.0,40698.98
6.15,49414.38
3.64,43623.57
18.63,100138.33
16.26,88119.39
12.85,86036.38
17.49,109521.01
16.17,87693.58
4.14,49367.31
17.9,98366.39
11.02,71633.07
16.25,92018.36
17.97,97575.17
6.7,57046.88
2.65,36429.3
4.94,51131.23
8.83,65063.22
16.45,94610.41
17.28,94599.17
0.64,29658.41
10.46,75615.25
8.64,67062.64
4.83,44436.63
2.84,41846.16
7.08,62090.92
18.89,97199.93
6.8,59926.63
10.62,69152.55
14.21,89688.47
7.59,56546.81
19.45,98774.59
19.27,98933.18
5.41,51879.44
10.2,72084.0
6.37,50946.93
6.05,57410.52
1.22,26569.58
12.39,79215.62
10.3,65153.88
1.5,32756.16
5.93,53971.42
18.21,98542.67
5.17,48763.05
3.33,48333.26
10.04,67292.86
19.72,113059.2
5.22,45231.78
13.61,87075.59
15.35,98614.17
5.13,38177.51
14.7,84816.4
7.67,63572.44
12.83,80304.63
12.85,83271.05
10.95,70770.5
2.26,39475.55
16.79,96375.21
6.76,62859.76
4.14,47820.55
1.3,36868.47
12.02,76030.26
13.71,82411.99
0.82,31131.06
10.49,73915.52
4.92,47561.75
13.08,83772.35
3.9,55977.59
13.97,90248.77
8.04,60535.24
18.77,111071.01
3.18,40686.26
7.15,48412.55
2.71,35810.5
18.53,94772.14
17.61,98674.9
5.53,52211.54
13.37,91860.94
16.44,97377.97
11.33,74210.16
10.83,77459.77
5.22,39808.8
2.32,40440.09
18.0,105837.16
18.06,94839.68
12.85,87100.68
7.11,60136.81
7.31,57161.91
14.66,91788.45
17.99,113328.06
17.8,102102.07
15.71,94071.4
13.02,79781.66
2.14,34313.7
3.65,48758.72
18.02,97806.81
12.33,79659.3
0.68,30329.08
2.48,42309.68
13.44,85421.45
0.6,37582.5
3.64,41992.95
11.2,73451.86
13.99,81074.01
13.21,80631.51
4.87,51379.51
14.39,91334.92
5.13,45894.6
6.85,61729.21
15.06,97004.52
13.17,84738.54
17.06,107623.41
13.32,79424.86
11.58,70104.8
2.33,30413.03
7.67,68162.05
5.67,55957.61
5.26,50753.27
19.47,109294.67
8.17,57034.18
17.89,113808.39
12.81,81874.92
16.0,94542.26
10.3,74834.53
11.75,79403.55
10.1,71535.8
4.31,43276.58
14.59,90708.61
5.98,63310.37
0.97,40623.75
13.09,90312.77
3.95,43258.55
18.84,100407.75
19.1,105777.49
18.34,103638.05
7.72,66343.34
0.8,24743.29
18.6,112056.6
8.85,64608.32
19.35,105264.67
19.29,102101.84
17.13,90260.45
6.24,59082.87
8.01,62404.21
17.1,91938.86
6.68,50244.52
